9758,1.05,1023,1023,1010,993,977
9792,1.05,1023,1023,1010,992,979
9827,1.05,1023,1023,1011,992,981
9861,1.05,1023,1023,1011,993,983
9895,1.05,1023,1023,1011,994,985
9929,1.05,1023,1023,1010,995,986
9964,1.05,1023,1023,1010,997,987
9998,1.05,1022,1023,1009,998,989
10033,1.05,1023,1023,1009,999,987
10067,1.05,1023,1022,1009,998,983
10103,1.05,1023,1023,1009,996,980
10138,1.05,1023,1023,1011,994,978
10174,1.05,1023,1023,1011,993,979
10209,1.05,1023,1023,1012,994,983
10245,1.05,1023,1023,1010,994,985
10279,1.05,1023,1022,1008,997,986
10315,1.05,1023,1023,1008,998,986
10350,1.05,1023,1023,1009,998,983
10386,1.05,1023,1023,1011,998,981
10422,1.05,1022,1023,1012,996,980
10457,1.06,1023,1023,1012,995,980
10492,1.05,1023,1023,1011,993,982
10527,1.05,1023,1023,1009,993,984
10563,1.05,1023,1023,1009,996,985
10598,1.05,1023,1023,1009,998,986
10634,1.05,1023,1023,1009,998,984
10669,1.05,1023,1023,1010,998,982
10704,1.05,1023,1023,1010,996,980
10739,1.05,1023,1023,1011,994,979
10775,1.05,1023,1023,1012,994,981
10810,1.05,1023,1023,1011,994,984
10846,1.05,1023,1023,1010,996,986
10881,1.05,1023,1023,1009,997,986
10916,1.05,1023,1021,1008,998,985
10951,1.05,1023,1023,1009,998,982
10987,1.05,1023,1023,1012,998,981
11023,1.05,1023,1023,1012,996,981
11058,1.05,1022,1023,1012,995,983
11094,1.05,1023,1023,1010,995,985
11128,1.05,1023,1021,1008,995,984
11164,1.05,1023,1023,1008,996,983
11199,1.05,1023,1023,1009,997,984
11235,1.05,1023,1023,1010,997,982
11270,1.05,1023,1023,1012,999,981
11305,1.05,1023,1022,1010,996,980
11340,1.06,1023,1023,1010,993,979
11376,1.05,1023,1023,1011,993,981
11411,1.05,1023,1023,1010,995,982
11447,1.05,1023,1023,1010,997,984
11482,1.05,1023,1023,1008,998,987
11517,1.05,1023,1023,1008,997,984
11553,1.05,1023,1022,1009,997,981
11588,1.05,1023,1023,1010,996,979
11624,1.05,1022,1023,1011,994,978
11659,1.05,1023,1023,1011,993,980
11695,1.05,1023,1022,1010,993,983
11729,1.05,1023,1023,1009,995,985
11765,1.05,1023,1023,1008,997,985
11800,1.05,1023,1023,1009,998,985
11836,1.05,1023,1023,1011,999,983
11871,1.05,1022,1023,1011,998,981
11907,1.05,1023,1022,1012,996,980
11941,1.05,1023,1023,1009,995,982
11977,1.05,1023,1023,1010,995,984
12012,1.05,1023,1023,1010,996,985
12048,1.05,1023,1023,1010,999,990
12083,1.05,1023,1023,1007,997,986
12119,1.05,1023,1023,1008,997,983
12154,1.05,1023,1023,1010,998,980
12189,1.05,1023,1023,1012,996,979
12225,1.05,1022,1023,1011,994,979
12260,1.05,1023,1023,1012,995,984
12296,1.06,1023,1023,1010,996,985
12331,1.05,1023,1022,1008,997,989
12366,1.05,1023,1023,1007,997,986
12401,1.05,1023,1023,1009,995,982
12437,1.05,1022,1023,1009,995,980
12472,1.06,1023,1023,1010,995,979
12508,1.05,1023,1021,1012,994,977
12542,1.06,1023,1023,1011,993,979
12578,1.06,1023,1023,1011,993,982
12613,1.05,1023,1023,1010,995,984
12649,1.06,1022,1023,1007,995,984
12685,1.05,1023,1022,1008,995,981
12720,1.05,1023,1023,1010,996,980
12755,1.06,1023,1023,1010,996,980
12790,1.05,1023,1023,1011,995,981
12826,1.06,1022,1023,1010,995,982
12861,1.05,1023,1023,1010,995,984
12897,1.06,1023,1023,1009,995,984
12932,1.05,1023,1023,1010,997,984
12967,1.05,1023,1023,1009,997,984
13002,1.05,1023,1023,1009,997,982
13038,1.05,1023,1023,1011,997,981
13073,1.05,1023,1023,1012,996,982
13109,1.06,1023,1023,1010,994,981
13144,1.05,1023,1023,1011,993,981
13179,1.05,1023,1022,1011,994,983
13214,1.05,1023,1023,1010,996,985
13250,1.05,1023,1022,1009,998,986
13286,1.05,1023,1021,1007,997,984
13321,1.05,1023,1023,1009,995,981
13357,1.05,1023,1023,1011,995,977
13391,1.05,1022,1023,1013,995,978
13427,1.06,1023,1023,1012,994,980
13462,1.05,1023,1022,1011,993,983
13498,1.06,1023,1021,1009,995,985
13533,1.05,1023,1023,1009,996,982
13569,1.05,1022,1023,1010,997,983
13603,1.06,1022,1023,1011,997,981
13639,1.05,1023,1022,1011,996,981
13674,1.06,1023,1022,1010,995,981
13710,1.06,1023,1022,1012,995,982
13745,1.06,1023,1023,1011,993,983
13780,1.05,1023,1023,1011,994,985
13816,1.06,1023,1023,1011,997,987
13851,1.06,1023,1022,1008,998,986
13887,1.05,1023,1023,1008,998,984
13922,1.05,1023,1023,1010,998,981
13958,1.06,1023,1023,1012,997,980
13992,1.06,1023,1023,1012,995,979
14028,1.06,1023,1022,1012,993,982
14063,1.06,1023,1022,1009,993,984
14099,1.05,1023,1023,1009,996,985
14134,1.05,1023,1023,1009,998,986
14170,1.05,1022,1023,1009,998,985
14204,1.05,1023,1023,1010,998,982
14240,1.05,1023,1021,1010,997,980
14275,1.06,1023,1023,1010,994,979
14311,1.06,1023,1023,1010,993,979
14346,1.06,1023,1023,1010,993,983
14382,1.06,1023,1023,1010,995,985
14417,1.05,1023,1023,1010,998,986
14452,1.06,1023,1021,1009,999,986
14488,1.05,1023,1023,1010,999,983
14523,1.05,1023,1023,1011,998,981
14559,1.06,1023,1023,1012,996,980
14594,1.06,1023,1023,1014,995,981
14629,1.06,1023,1023,1011,993,983
14664,1.06,1023,1022,1010,994,985
14700,1.06,1023,1023,1009,996,985
14735,1.06,1023,1023,1008,997,985
14771,1.06,0,1023,1004,994,988
14802,1.05,0,1022,1007,994,989
14835,1.06,0,1022,1007,991,987
14867,0.95,0,1023,1009,991,985
14900,1.05,0,1023,1011,991,982
14931,1.05,0,1023,1013,994,981
14964,1.05,1023,1023,1013,995,984
14999,1.05,1023,1023,1009,995,986
15035,1.05,1023,1023,1009,998,987
15070,1.06,1023,1022,1008,998,985
15106,1.05,1023,1023,1010,998,982
15140,1.05,1023,1023,1011,997,980
15176,1.05,1022,1023,1011,995,979
15211,1.05,1023,1022,1011,993,980
15247,1.06,1023,1023,1010,993,983
15283,1.05,1023,1023,1009,994,984
15318,1.05,1023,1023,1009,997,986
15353,1.05,1023,1023,1009,998,986
15388,1.05,1023,1023,1009,998,983
15424,1.05,1023,1022,1010,997,980
15459,1.05,1023,1023,1010,995,979
15495,1.05,1023,1023,1010,993,979
15529,1.05,1023,1023,1011,993,982
15565,1.05,1023,1023,1011,994,984
15600,1.05,1023,1023,1011,997,986
15636,1.05,1023,1022,1008,998,987
15671,1.05,1023,1023,1008,998,984
15707,1.05,1023,1023,1009,998,981
15741,1.05,1023,1023,1010,997,980
15777,1.05,1022,1023,1012,994,979
15813,1.05,1023,1023,1011,993,981
15848,1.05,1023,1022,1010,993,984
15884,1.05,1023,1023,1009,995,985
15919,1.05,1023,1023,1008,997,986
15954,1.05,1023,1023,1008,998,985
15989,1.05,0,1023,1004,996,987
16022,1.05,0,1022,1005,995,989
16054,0.86,0,1023,1006,993,989
