0,0,0
1006139,510,525,506
1007139,512,523,504
1008141,516,522,507
1009142,516,522,508
1010144,509,525,507
1011144,515,522,507
1012146,513,523,506
1013147,514,521,505
1014148,515,524,505
1015149,513,522,505
1016151,513,520,506
1017152,514,522,504
1018152,516,523,505
1019154,516,525,507
1020155,517,521,506
1021157,515,520,505
1022157,512,520,506
1023159,514,524,505
1024160,514,524,504
1025161,515,524,506
1026162,514,522,505
1027164,512,520,503
1028165,515,521,506
1029166,516,525,507
1030167,516,521,507
1031169,515,524,507
1032169,514,520,507
1033170,515,522,508
1034172,512,523,503
1035173,513,525,504
1036174,516,520,504
1037175,514,521,504
1038177,514,520,508
1039177,513,525,508
1040179,515,523,508
1041180,517,524,507
1042182,517,524,505
1043182,515,522,506
1044184,513,520,506
1045185,512,521,505
1046187,516,520,505
1047187,511,522,504
1048188,510,522,506
1049190,515,524,507
1050190,513,524,507
1051192,514,524,506
1052193,516,521,507
1053195,516,523,505
1054195,514,522,505
1055197,514,523,506
1056198,514,524,504
1057199,514,522,503
1058200,515,524,507
1059202,513,522,508
1060203,516,523,508
1061203,511,521,506
1062205,512,525,505
1063206,515,519,503
1064208,511,522,502
1065208,514,525,506
1066210,515,522,505
1067211,516,526,505
1068212,515,521,506
1069213,516,524,506
1070215,513,525,507
1071216,514,521,503
1072217,512,523,507
1073218,510,521,506
1074220,516,520,506
1075220,515,521,506
1076221,512,524,505
1077223,516,522,508
1078224,512,525,506
1079225,515,523,508
1080226,514,521,508
1081228,514,524,507
1082229,512,522,508
1083230,517,525,506
1084231,511,520,505
1085233,512,522,505
1086233,513,522,505
1087235,515,525,508
1088236,512,522,508
1089238,512,525,506
1090238,512,522,506
1091239,515,525,507
1092241,514,524,508
1093241,514,525,505
1094243,514,523,505
1095244,514,523,505
1096246,513,524,505
1097246,516,523,508
1098248,511,521,506
1099249,514,524,505
1100251,513,523,505
1101251,513,524,507
1102253,515,525,505
1103254,517,522,505
1104254,515,524,506
1105256,514,520,503
1106257,514,520,504
1107259,513,523,506
1108259,515,525,505
1109261,511,523,507
1110262,515,523,508
1111263,513,521,507
1112264,517,523,505
1113266,509,521,504
1114267,516,521,504
1115268,516,523,506
1116269,515,522,505
1117271,512,523,507
1118272,513,522,506
1119272,515,523,507
1120274,514,522,508
1121275,516,525,508
1122276,514,523,506
1123277,516,521,505
1124279,515,523,505
1125280,513,521,504
1126281,514,524,506
1127282,515,524,508
1128284,512,522,506
1129285,514,524,508
1130286,516,523,506
1131287,515,524,507
1132289,514,522,506
1133289,512,523,505
1134290,512,522,504
1135292,516,520,504
1136293,516,523,503
1137294,516,522,507
1138295,511,523,506
1139297,513,523,506
1140297,514,524,508
1141299,511,524,507
1142300,513,520,504
1143302,511,521,504
1144302,514,523,506
1145304,516,521,503
1146305,512,521,506
1147307,515,523,505
1148307,513,521,507
1149308,514,521,508
1150310,514,525,507
1151310,515,524,507
1152312,516,525,503
1153313,515,521,503
1154315,510,524,504
1155315,512,525,504
1156317,515,523,507
1157318,512,524,506
1158319,513,524,507
1159320,514,523,507
1160322,513,521,507
1161323,516,525,506
1162323,516,524,505
1163325,516,523,505
1164326,510,521,504
1165328,510,525,506
1166328,514,524,508
1167330,512,523,507
1168331,511,525,507
1169332,515,522,508
1170333,510,525,508
1171335,511,521,506
1172336,512,524,504
1173337,515,523,503
1174338,516,522,504
1175340,510,523,504
1176341,514,523,508
1177341,516,521,505
1178343,514,521,507
1179344,515,524,507
1180345,514,524,507
1181346,514,523,507
1182348,515,521,504
1183349,514,521,505
1184350,514,521,504
1185351,513,524,504
1186353,512,522,505
1187353,514,520,507
1188355,517,522,505
1189356,513,523,506
1190358,516,524,506
1191358,515,522,506
1192359,510,525,505
1193361,516,524,503
1194362,515,525,505
1195363,515,523,507
1196364,515,525,507
1197366,513,524,507
1198366,516,522,506
1199368,512,522,507
1200369,514,522,506
1201371,512,521,505
1202371,515,524,506
1203373,515,524,504
1204374,516,525,504
1205376,510,523,506
1206376,516,525,508
1207377,513,523,507
1208379,512,522,505
1209379,514,522,506
1210381,514,522,507
1211382,511,524,506
1212384,515,523,505
1213384,514,523,505
1214386,516,523,505
1215387,516,522,507
1216388,515,522,505
1217389,514,525,506
1218391,515,521,508
1219392,513,521,507
1220392,510,523,508
1221394,515,525,504
1222395,514,525,504
1223397,514,523,504
1224397,516,523,505
1225399,515,523,508
1226400,514,522,507
1227401,511,525,505
1228402,515,524,505
1229404,513,520,506
1230405,516,521,507
1231406,513,524,502
1232407,514,522,505
1233409,513,522,505
1234410,511,520,505
1235410,516,523,505
1236412,513,521,506
1237413,514,522,505
1238414,515,522,507
1239415,516,522,505
1240417,514,524,506
1241418,516,523,506
1242419,516,521,506
1243420,515,522,504
1244422,512,523,504
1245422,513,521,506
1246424,513,521,506
1247425,516,526,505
1248427,510,521,508
1249427,515,523,507
1250428,515,522,504
1251430,514,522,506
1252431,516,524,505
1253432,513,523,505
1254433,512,522,505
1255435,516,522,508
1256435,513,522,506
1257437,511,523,508
1258438,516,524,507
1259440,513,525,507
1260440,515,522,504
1261442,517,522,504
1262443,516,522,505
1263443,515,522,503
